name,title,url,about
,Colour Space,https://www.meta.com/en-gb/experiences/color-space/2702419963135346/,"Coloring books are a timeless, easy way for adults and kids to have fun making art. But what if you could step into the coloring book? In Color Space you don’t just color in a scene — you color *inside* a scene. Equipped with a palette and a coloring wand, you’re transported into any of 32 beautiful black-and-white worlds created by a growing group of VR's most talented artists. You fill in the world with as many colors as you like, one tree, rock and flower at a time. "
,OpenBrush,https://www.meta.com/en-gb/experiences/open-brush-3d-painting/3600360710032222/,"Paint in 3D space with XR. Unleash your creativity with three-dimensional brush strokes. Your canvas is open around you. Your palette is your imagination. Your inspiration is everywhere. A palette of 48 different brush types, freed from the bounds of typical painting media. Fire, water, smoke and light beams are just a selection of the wonderful brushes you’ll find. A large selection of environments will find you floating in space, creating costumes, or transforming your living space into a dragon’s cave through the magic of passthrough."
,Gravity Sketch,https://www.meta.com/en-gb/experiences/1587090851394426,"3D design tool empowers you to create, share and collaborate on your ideas. Go beyond the bounds of 2D sketching to express yourself in a virtual studio and explore iterations of designs. Communicate design intent with greater clarity, and invite others to help shape your ideas and decision-making."
,Figmin XR,https://www.meta.com/en-gb/experiences/6849182851823457/,"Create, Collect & Play in Mixed Reality! A fun spatial computing application that lets you easily create, collect & play in mixed reality. Multiplayer supported. Anything is possible! Decorate your room, create physics games, educational experiences, awesome videos for social media, storytelling, art, marketing, visualization, or anything you can imagine."
,Zoe,https://www.meta.com/en-gb/experiences/zoe/5464660053555314/,"Zoe enables the rapid creation of interactive 3D scenes through a no-code interface and automation. Invite your friends, students, colleagues and clients to collaborate, learn and create together in real-time. You can create anything you have in mind. It has been used to host activities, create learning games, build interactive stories, adventure games, and even mini-games for therapy. Free version includes templates, creator tools and multiplayer capabilities for up to 3 members. Visit zoeimmersive.com to learn how you can increase the number of collaborators."
,,,
Nature,,,
,Nature Treks VR,https://www.meta.com/en-gb/experiences/2616537008386430,"Explore tropical beaches, underwater oceans and even take to the stars. Discover over 20 different animals, command the weather, take control of the night or shape your own world with ‘orbs’, breathe with the meditation lotus. Immerse yourself into the Nature Treks VR experience and escape into a world of relaxation."
,Ocean Rift,https://www.meta.com/en-gb/experiences/ocean-rift/2134272053250863/,"Turn your room into an aquarium, placing virtual windows wherever you like or swim around an underwater world full of dolphins, sharks, turtles, sea snakes, rays, whales and sea lions.  Activate the education mode to learn more about the animals you come across with 40 fully narrated information points."
,,,
Puzzles,,,
,Cubism,https://www.meta.com/en-gb/experiences/2264524423619421,A deceptively simple puzzle game where you assemble increasingly complex shapes out of colourful blocks. Immerse yourself in a zen environment as you reason your way through 90 puzzles which will put your spatial thinking skills to the test.
,Puzzling Places,https://www.meta.com/en-gb/experiences/puzzling-places/3931148300302917/,"Sort, puzzle, and relax by building dioramas of beautiful places from around the world—Rated #1 puzzling game in VR!  Puzzle by yourself or with a friend with online multiplayer and local Mixed Reality co-op!"
,Plockle,https://plockle.com/,VR block puzzle game
,,,
Team Building,,,
,Keep talking and nobody explodes,https://www.meta.com/en-gb/experiences/keep-talking-and-nobody-explodes/2010043642376517/,"One player is trapped in a virtual room with a ticking time bomb they must defuse. The other players are the “Experts” who must give the instructions to defuse the bomb by deciphering the information found in the Bomb Defusal Manual. But there’s a catch: the Experts can’t see the bomb, so everyone will need to talk it out –fast!"
,POPULATION: ONE,https://www.meta.com/en-gb/experiences/population-one/2564158073609422/,"VR Battle Royale. Climb, Fly, Build. POPULATION: ONE is a multiplayer, First Person Shooter only possible in VR. Group up with your squad for a Battle Royale victory across numerous maps or explore Sandbox, player created maps with multiple game modes."
,RecRoom,https://www.meta.com/en-gb/experiences/rec-room/2173678582678296/,"Use private rooms with games like paintball, laser quest"
,VR Chat,https://www.meta.com/en-gb/experiences/vrchat/1856672347794301/,"Use private rooms, Zelda worlds"
,Walkabout Mini Golf,https://www.meta.com/en-gb/experiences/walkabout-mini-golf/2462678267173943/,"Eight 18-hole courses to master. Unlock Hard Mode for more challenging versions of all courses. Guest Pass: allows guests of the player with a paid DLC course to play with their host for free. Play solo, 1v1 online quick match, or create a private room with up to 8 players. Extremely accurate physics that feels just like the real thing"
,,,
Collaboration,,,
,Arkio,https://www.meta.com/en-gb/experiences/arkio/2280319701979278/,"Design interiors, buildings, virtual spaces and more with Arkio on Meta Quest and Meta Quest Pro. Try new design ideas and collaborate with others using VR, desktop and mobile to make better design decisions faster. With room import and passthrough you can design, mix and share realities like never before. Move freely around large spaces or entire floors with the new boundaryless mode. Place virtual furniture in your living room, sketch an extension on your home, carve a virtual window into a wall or remove entire walls! View 3D models as scale models or experience them at true scale in the real world. Color passthrough on Meta Quest 3 & Pro brings mixed reality in Arkio vividly to life."
,,,
3D Maps,,,
,Wooorld,https://www.meta.com/en-gb/experiences/4360608937312293,"Dive into Wooorld, a one-of-a-kind social platform bringing a 3D map of the world into your room in Mixed Reality."
,EarthQuest,https://www.meta.com/en-gb/experiences/6320120764784270/,"Explore nearly every city on Earth in stunning 3D, with uncompressed 8k Street View and realistic terrain. ChatGPT Integration offers personalized insights in your language, while Hand Tracking lets you fly like a superhero. Enjoy multiplayer, Google Maps integration, and customizable comfort settings for a truly immersive experience."
,,,
Matterport,,,
,Matterport,https://matterport.com/discover/,
,Oxford Natural History Museum,https://matterport.com/discover/space/Sfkr3s8RkC2,
,2024 Art Graduates,https://matterport.com/discover/space/TNQ2KLk2osv,
,LeRoy Foster: Solo Show,https://matterport.com/discover/space/4qiadgkC2i8,
,Eglise Sainte-Cecile,https://matterport.com/discover/space/qsVWt29oHFV,
,Basilica Catedral Santiago,https://matterport.com/discover/space/94nDpp3WXhm,
,,,
App Stores,,,
,Meta Store,https://www.meta.com/en-gb/experiences/,
,HeyVR,https://heyVR.io,Open App Store for WebXR apps
,,,
Games,,,
,City Sling VR,https://cityslingvr.arvr.social/,"Swing around buildings like spiderman. To swing around, aim the controller at a high point on a building and press and hold the trigger. Your web shooters have limited range so aiming too far will not work. Shooting two webs simultaneously will help you balance yourself. Made for educational purposes, open source. https://github.com/cabanier/cityslingvr"
,Archery Evolution,https://heyvr.io/arcade/games/archery-evolution,
,,,
,Hover Fit,https://hover.fit,Fitness exercise
,The Escape Artist,https://esc.art,"Virtual Escape Room. Take on the role of an artist’s elusive muse, deciphering hints and solving puzzles in an increasingly surreal environment to break through and find inspiration in this expansive narrative about the creative process."
,Gorilla Tag,https://www.meta.com/en-gb/experiences/4979055762136823,"Run, climb, and jump in VR using a unique locomotion method that only needs the movement of your hands and arms. No buttons, no sticks, no teleportation. Push off of surfaces to jump and squeeze them with both hands to climb."
,,,
Games (2 player),,https://www.youtube.com/watch?v=7ggtT8DZusY ,Multiplayer Games with TWO Oculus QUESTS and ONE Account!
,Blaston,https://www.meta.com/en-gb/experiences/blaston/2307085352735834/,"Fast-paced PvP VR shooter where your survival hinges on one simple rule: Never. Stay. Still. Duel players in a slow-motion bullet-hell as you collect weapons, personalize your loadout, and move your whole body to dodge oncoming fire as you line up your next perfect shot. Customize your weapons with game-changing attachments, glow up your avatar and arsenal with new looks, and create player-hosted tournaments in the Ozo Lounge. Get ready to break a sweat!"
,Eleven Table Tennis,https://www.meta.com/en-gb/experiences/eleven-table-tennis/1995434190525828/,"Play opponents in online multiplayer or practice against the advanced AI. With physics designed to be as real as ever achieved in a Table Tennis simulator, you will forget you are in VR."
,Walkabout Mini Golf,https://www.meta.com/en-gb/experiences/walkabout-mini-golf/2462678267173943/,"8 x 18-hole courses to master. Unlock Hard Mode for more challenging versions of all courses. Guest Pass: allows guests of the player with a paid DLC course to play with their host for free. Play solo, 1v1 online quick match, or create a private room with up to 8 players. Extremely accurate physics that feels just like the real thing."
,Racket Nx,https://www.meta.com/en-gb/experiences/racket-nx/2255408847836468/,"Racquetball meets Breakout inside a giant pinball machine!  2 single player modes. Competitive multiplayer mode. The game is played inside a giant glass dome, the walls of which light up with targets you must destroy with the ball."
,,,
Fun,,,
,"Hello, Dot",https://www.meta.com/en-gb/experiences/25825290007070369,Interact and care for a virtual pet / creature (a Peridot).
,XR Dinosaurs,https://xrdinosaurs.com,
,,,
,First Steps for Quest 2,https://www.meta.com/en-gb/experiences/3675568169182204/,Take your first steps in VR and get to know your controllers in this short experience that showcases the power of Oculus.
,First Encounters for Quest 3,https://www.meta.com/en-gb/experiences/6236169136472090/,Discover mixed reality on Meta Quest 3 with First Encounters. You are on a strange new planet and pesky space puffians are about to flood into your room. Catch as many as you can before time runs out – match colours for a high score!
,,,
To Try,,,
,Cinemersive Video Player,https://www.meta.com/en-gb/experiences/5784242031704261/,"The next generation of fully immersive, three-dimensional videos to standalone VR headsets. Acquire, process, store, and render videos in six degrees-of-freedom 3D. The current version of the app contains the comedy film ""Love Square"" as well as six additional short videos captured in Armenia. Most videos were recorded with our proprietary five-camera rig, while one of them was converted from an iPhone video."
,,,
Virtual Desktop,,,
,Virtual Desktop,https://www.meta.com/en-gb/experiences/2017050365004772,use instead of a physical display (paid)
,Big Screen,https://www.meta.com/en-gb/experiences/2497738113633933,"desktop sharing, but also social viewing of films in public VR room, or collab in a private VR room"
,Immersed,https://www.meta.com/en-gb/experiences/2849273531812512,"VR Offices! FREE app for *multiple* Virtual Screens in VR for Mac/PC/Linux (with no extra hardware) in stunning virtual worlds! Immersed is great for solo work with multiple screens in a virtual cafe, or for collaborating with your team around even more screens and whiteboards!"
,Fluid,https://www.meta.com/en-gb/experiences/6946182742093178/,"turns your mixed reality headset into a personal spatial computer. Apps and webpages can be placed anywhere around you in 3D space, and you can change your workspace between a virtual room and a mixed-reality experience."
,,,
Virtual Meetings,,,
,Horizon Workroom,https://www.meta.com/en-gb/experiences/2514011888645651,"VR workspace for teams to connect, collaborate and create. Meet teammates across the table, even if you're across the world and transform your home office into a remote meeting room. Bring your physical computer and desk into VR with you for an immersive mixed reality experience.Experience natural conversations and feel like you're in the same room with spatial audio. Get more done, more efficiently with three massive screens in your virtual home office."
,Microsoft Mesh,https://www.meta.com/en-gb/experiences/6750166401689690,"Connect in 3D immersive space with integration to Microsoft Teams allowing you to join Teams meetings directly from your Meta Quest device through the Mesh app. Needs an appropriate M365, O365 and/or Teams licence is needed. Certain conditional access IT policies are required. For details, see aka.ms/meshprep"
,,,
Soft skills,,,
,VirtualSpeech,https://www.meta.com/en-gb/experiences/3973230756042512/,"Training tool for improving your soft skills. With AI-powered avatars, real-time feedback, and realistic environments, you’ll improve your workplace skills in areas such as presentations, leadership, sales, difficult conversations, and more."
,Bodyswaps,https://www.meta.com/en-gb/experiences/3714188128706579/,"Practice and perfect all-important soft skills in Bodyswaps - an award winning psychologically safe VR tool that combines behavioural science and AI data with realistic workplace scenarios. Experience role play to build; Active listening, Clear communication, Gender inclusion, Understanding and resolving conflict, Giving feedback, Career mindset development, Job interview skills through 15 minute simulations"
,,,
Music,,,
,Cadenza!!,https://heyvr.io/arcade/games/cadenza,a free to play rhythm game inspired by the likes of Deemo and Chunithm
,Paradiddle,https://www.meta.com/en-gb/experiences/paradiddle/5719805344724551/,VR drum kit and learn to play (paid app)
,PianoVision,https://www.meta.com/en-gb/experiences/pianovision/5271074762922599/,accelerates your piano learning using Mixed Reality and hand tracking. Connect a MIDI keyboard or play on a flat surface with the Virtual Piano!
,,,
Planetarium,,,
,Skygaze XR,https://www.meta.com/en-gb/experiences/skygaze-demo/5092297537484845/,"Transforms your home into a magical planetarium, letting you explore the night sky in breath-taking detail. The app features accurate star positions calculated in real time, as well as the visible planets in our solar system. This project was awarded 3rd Place at the Meta XR Hackathon 2021"
,Titans of space PLUS,https://www.meta.com/en-gb/experiences/titans-of-space-plus/2359857214088490/,"Just how big is big? Discover the answer as you tour through this holographic miniature Solar System, then venture beyond to visit some of the largest known stars. (paid app)"
,Space simulator 3D,https://www.meta.com/en-gb/experiences/space-simulator-3d/5834263140001044/,"Create your own solar system in the outer space with Space Simulator 3D! Add new planets, moons, stars, and asteroids. The universe sandbox is an addicting 3D space simulator based on realistic astrophysics (Paid app)"
,YouTube: Planetarium 360,https://www.youtube.com/results?search_query=Planetarium&sp=EgJ4AQ%253D%253D,
,,,
360 Videos,,,
,Travel Trend,https://www.trvltrend.com/technology/virtual-tours/,Top 100 Virtual Tours Around The World [2020]
,VR 360 YouTube Channel,https://www.youtube.com/channel/UCPI7O1tnWh5I8_TWyKX2IqQ,
,Explore-Best of VR on YouTube,https://www.youtube.com/playlist?app=desktop&list=PLcn9pfjUYwNhngTUwCGFa7Ycm1vTCFjJX&si=DAZDLnuJcXo7XmSP&cbrd=1,
,,,
VR at Oxford,,,
,3D Organon XR,https://www.meta.com/en-gb/experiences/6218475558223281,"Anatomy exploration to XR Medical Imaging, Ultrasound simulation, Medverse, and interactive Quizzes, users have access to a comprehensive suite of tools for learning and practicing medical knowledge. Free demo version available. Used by Shamila Rajendran from Oxford's Department of Physiology Anatomy and Genetics to teach anatomy."
,NHSBT Blood Identification,https://www.meta.com/en-gb/experiences/6530594066996940/,"The app is designed to show learners the processes of correct blood group identification, as well as the consequences of administering a transfusion following incorrect blood group identification, emphasizing the relationship between blood group identification processes and patient wellbeing. Used by the Genomics to Enhance Microbial Screening Blood and Transplant Unit at Oxford University to train individuals how to match blood types for safe transfusion"
,Oxford Medical XR,https://xr.cmd.ox.ac.uk/,"Extended Reality virtual environments to maximise the potential of biomedical imaging and translational medicine. Projects include BabelVR, StrokeVR, AescularVR, BreathlessVR, CSynth"
,OXR HUB,https://oxr.eng.ox.ac.uk/portfolio/,"Our mission is to leverage immersive technologies such as Virtual and Augmented Reality to facilitate research, drive innovation and cultivate new skill sets at the University of Oxford."
,,,
WebXR FW,,,
,Foveate,https://foveate.com,
,Glitch,https://glitch.com,
,FrameVR,https://framevr.io,
